incoming,converted,n_incoming,n_converted,name,description,namespaces,query
TPRG1L,127262,45,1,TPRG1L,tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TP73,7161,46,1,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LRRC47,57470,47,1,LRRC47,leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DFFB,1677,48,1,DFFB,DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C1orf174,339448,49,1,C1orf174,chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01134,None,50,1,None,None,,query_1
LINC01777,None,51,1,None,None,,query_1
LINC01646,None,52,1,None,None,,query_1
AJAP1,55966,53,1,AJAP1,adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NPHP4,261734,54,1,NPHP4,nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KCNAB2,8514,55,1,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CHD5,26038,56,1,CHD5,chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ACOT7,11332,57,1,ACOT7,acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PLEKHG5,57449,58,1,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NOL9,79707,59,1,NOL9,nucleolar protein 9 [Source:HGNC Symbol;Acc:HGNC:26265],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TAS1R1,80835,60,1,TAS1R1,taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ZBTB48,3104,61,1,ZBTB48,zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PHF13,148479,62,1,PHF13,PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
THAP3,90326,63,1,THAP3,THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DNAJC11,55735,64,1,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01672,None,65,1,None,None,,query_1
CAMTA1,23261,66,1,CAMTA1,calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
VAMP3,9341,67,1,VAMP3,vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PER3,8863,68,1,PER3,period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TNFRSF9,3604,69,1,TNFRSF9,TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PARK7,11315,70,1,PARK7,Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ERRFI1,54206,71,1,ERRFI1,ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC45A1,50651,72,1,SLC45A1,solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RERE,473,73,1,RERE,arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ENO1,2023,74,1,ENO1,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ENO1-AS1,None,75,1,None,None,,query_1
CA6,765,76,1,CA6,carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC2A7,155184,77,1,SLC2A7,solute carrier family 2 member 7 [Source:HGNC Symbol;Acc:HGNC:13445],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC2A5,6518,78,1,SLC2A5,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GPR157,80045,79,1,GPR157,G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MIR34AHG,None,80,1,None,None,,query_1
H6PD,9563,81,1,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SPSB1,80176,82,1,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PIK3CD,5293,83,1,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CLSTN1,22883,84,1,CLSTN1,calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LZIC,84328,85,1,LZIC,leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:HGNC:17497],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NMNAT1,64802,86,1,NMNAT1,nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
UBE4B,10277,87,1,UBE4B,ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KIF1B,23095,88,1,KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PGD,5226,89,1,PGD,phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CENPS-CORT,378708,90,1,CENPS,centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CENPS-CORT,100526739,90,2,CENPS-CORT,CENPS-CORT readthrough [Source:HGNC Symbol;Acc:HGNC:38843],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DFFA,1676,91,1,DFFA,DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PEX14,5195,92,1,PEX14,peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CASZ1,54897,93,1,CASZ1,castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C1orf127,148345,94,1,C1orf127,chromosome 1 open reading frame 127 [Source:HGNC Symbol;Acc:HGNC:26730],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TARDBP,23435,95,1,TARDBP,TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MASP2,10747,96,1,MASP2,mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
EXOSC10,5394,97,1,EXOSC10,exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MTOR,2475,98,1,MTOR,mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
UBIAD1,29914,99,1,UBIAD1,UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FBXO44,93611,100,1,FBXO44,F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DRAXIN,374946,101,1,DRAXIN,dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
AGTRAP,57085,102,1,AGTRAP,angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C1orf167,284498,103,1,C1orf167,chromosome 1 open reading frame 167 [Source:HGNC Symbol;Acc:HGNC:25262],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC102724659,None,104,1,None,None,,query_1
MTHFR,4524,105,1,MTHFR,methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436],"DBASS5,ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CLCN6,1185,106,1,CLCN6,chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KIAA2013,90231,107,1,KIAA2013,KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PLOD1,5351,108,1,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MFN2,9927,109,1,MFN2,mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TNFRSF8,943,110,1,TNFRSF8,TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
VPS13D,55187,111,1,VPS13D,vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DHRS3,9249,112,1,DHRS3,dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
HNRNPCL2,440563,113,1,HNRNPCL2,heterogeneous nuclear ribonucleoprotein C like 2 [Source:HGNC Symbol;Acc:HGNC:48813],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PRAMEF19,645414,114,1,PRAMEF19,PRAME family member 19 [Source:HGNC Symbol;Acc:HGNC:24908],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PRAMEF17,391004,115,1,PRAMEF17,PRAME family member 17 [Source:HGNC Symbol;Acc:HGNC:29485],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PRAMEF20,645425,116,1,PRAMEF20,PRAME family member 20 [Source:HGNC Symbol;Acc:HGNC:25224],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LRRC38,126755,117,1,LRRC38,leucine rich repeat containing 38 [Source:HGNC Symbol;Acc:HGNC:27005],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PDPN,10630,118,1,PDPN,podoplanin [Source:HGNC Symbol;Acc:HGNC:29602],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PRDM2,7799,119,1,PRDM2,PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KAZN,23254,120,1,KAZN,"kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TMEM51-AS1,None,121,1,None,None,,query_1
TMEM51,55092,122,1,TMEM51,transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FHAD1,114827,123,1,FHAD1,forkhead associated phosphopeptide binding domain 1 [Source:HGNC Symbol;Acc:HGNC:29408],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CELA2A,63036,124,1,CELA2A,chymotrypsin like elastase 2A [Source:HGNC Symbol;Acc:HGNC:24609],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CELA2B,51032,125,1,CELA2B,chymotrypsin like elastase 2B [Source:HGNC Symbol;Acc:HGNC:29995],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CASP9,842,126,1,CASP9,caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DNAJC16,23341,127,1,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
AGMAT,79814,128,1,AGMAT,agmatinase [Source:HGNC Symbol;Acc:HGNC:18407],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DDI2,84301,129,1,DDI2,DNA damage inducible 1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:24578],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PLEKHM2,23207,130,1,PLEKHM2,pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC25A34,284723,131,1,SLC25A34,solute carrier family 25 member 34 [Source:HGNC Symbol;Acc:HGNC:27653],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FBLIM1,54751,132,1,FBLIM1,filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FLJ37453,None,133,1,None,None,,query_1
SPEN,23013,134,1,SPEN,spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MIR5096,None,135,1,None,None,,query_1
ZBTB17,7709,136,1,ZBTB17,zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CLCNKB,1188,137,1,CLCNKB,chloride voltage-gated channel Kb [Source:HGNC Symbol;Acc:HGNC:2027],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
EPHA2,1969,138,1,EPHA2,EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FBXO42,54455,139,1,FBXO42,F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SZRD1,26099,140,1,SZRD1,SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SPATA21,374955,141,1,SPATA21,spermatogenesis associated 21 [Source:HGNC Symbol;Acc:HGNC:28026],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NECAP2,55707,142,1,NECAP2,NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CROCCP3,114819,143,1,CROCCP3,CROCC pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:29405],"ENTREZGENE,HGNC,WIKIGENE",query_1
FAM231B,None,144,1,None,None,,query_1
NBPF1,55672,145,1,NBPF1,NBPF member 1 [Source:HGNC Symbol;Acc:HGNC:26088],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CROCCP2,84809,146,1,CROCCP2,CROCC pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:28170],"ENTREZGENE,HGNC,WIKIGENE",query_1
MST1P2,None,147,1,None,None,,query_1
ESPNP,None,148,1,None,None,,query_1
MST1L,11223,149,1,MST1L,macrophage stimulating 1 like [Source:HGNC Symbol;Acc:HGNC:7390],"ENTREZGENE,HGNC,WIKIGENE",query_1
LOC105376805,None,150,1,None,None,,query_1
CROCC,9696,151,1,CROCC,"ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ATP13A2,23400,152,1,ATP13A2,ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SDHB,6390,153,1,SDHB,succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681],"DBASS5,ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PADI2,11240,154,1,PADI2,peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PADI1,29943,155,1,PADI1,peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PADI3,51702,156,1,PADI3,peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PADI4,23569,157,1,PADI4,peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RCC2,55920,158,1,RCC2,regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ARHGEF10L,55160,159,1,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
