incoming,converted,n_incoming,n_converted,name,description,namespaces,query
UBE2J2,118424,28,1,UBE2J2,ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SCNN1D,6339,29,1,SCNN1D,sodium channel epithelial 1 delta subunit [Source:HGNC Symbol;Acc:HGNC:10601],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ACAP3,116983,30,1,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PUSL1,126789,31,1,PUSL1,pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
INTS11,54973,32,1,INTS11,integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CPTP,80772,33,1,CPTP,ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TAS1R3,83756,34,1,TAS1R3,taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DVL1,1855,35,1,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MXRA8,54587,36,1,MXRA8,matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
AURKAIP1,54998,37,1,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CCNL2,81669,38,1,CCNL2,cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC148413,None,39,1,None,None,,query_1
MRPL20,55052,40,1,MRPL20,mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ANKRD65,441869,41,1,ANKRD65,ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TMEM88B,643965,42,1,TMEM88B,transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01770,None,43,1,None,None,,query_1
VWA1,64856,44,1,VWA1,von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ATAD3C,219293,45,1,ATAD3C,ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ATAD3B,83858,46,1,ATAD3B,ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ATAD3A,55210,47,1,ATAD3A,ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TMEM240,339453,48,1,TMEM240,transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SSU72,29101,49,1,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FNDC10,643988,50,1,FNDC10,fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MIB2,142678,51,1,MIB2,mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MMP23B,8510,52,1,MMP23B,matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CDK11B,984,53,1,CDK11B,cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC35E2B,728661,54,1,SLC35E2B,solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CDK11A,728642,55,1,CDK11A,cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC35E2,None,56,1,None,None,,query_1
NADK,65220,57,1,NADK,NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GNB1,2782,58,1,GNB1,G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CALML6,163688,59,1,CALML6,calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TMEM52,339456,60,1,TMEM52,transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CFAP74,85452,61,1,CFAP74,cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GABRD,2563,62,1,GABRD,gamma-aminobutyric acid type A receptor delta subunit [Source:HGNC Symbol;Acc:HGNC:4084],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC105378591,None,63,1,None,None,,query_1
PRKCZ,5590,64,1,PRKCZ,protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FAAP20,199990,65,1,FAAP20,FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SKI,6497,66,1,SKI,SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MORN1,79906,67,1,MORN1,MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC100129534,None,68,1,None,None,,query_1
RER1,11079,69,1,RER1,retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PEX10,5192,70,1,PEX10,peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PLCH2,9651,71,1,PLCH2,phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PANK4,55229,72,1,PANK4,pantothenate kinase 4 [Source:HGNC Symbol;Acc:HGNC:19366],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TNFRSF14-AS1,None,73,1,None,None,,query_1
TNFRSF14,8764,74,1,TNFRSF14,TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC100996583,None,75,1,None,None,,query_1
FAM213B,None,76,1,None,None,,query_1
MMEL1,79258,77,1,MMEL1,membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TTC34,100287898,78,1,TTC34,tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ACTRT2,140625,79,1,ACTRT2,actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC00982,None,80,1,None,None,,query_1
PRDM16,63976,81,1,PRDM16,PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ARHGEF16,27237,82,1,ARHGEF16,Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MEGF6,1953,83,1,MEGF6,multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TPRG1L,127262,84,1,TPRG1L,tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
WRAP73,49856,85,1,WRAP73,"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TP73,7161,86,1,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TP73-AS1,57212,87,1,TP73-AS1,TP73 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:29052],"ENTREZGENE,HGNC,WIKIGENE",query_1
CCDC27,148870,88,1,CCDC27,coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SMIM1,388588,89,1,SMIM1,small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LRRC47,57470,90,1,LRRC47,leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CEP104,9731,91,1,CEP104,centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DFFB,1677,92,1,DFFB,DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C1orf174,339448,93,1,C1orf174,chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01134,None,94,1,None,None,,query_1
LINC01346,None,95,1,None,None,,query_1
LINC01345,None,96,1,None,None,,query_1
LINC01777,None,97,1,None,None,,query_1
LINC01646,None,98,1,None,None,,query_1
AJAP1,55966,99,1,AJAP1,adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NPHP4,261734,100,1,NPHP4,nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KCNAB2,8514,101,1,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CHD5,26038,102,1,CHD5,chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RPL22,6146,103,1,RPL22,ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC102724450,None,104,1,None,None,,query_1
ICMT,23463,105,1,ICMT,isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC00337,None,106,1,None,None,,query_1
GPR153,387509,107,1,GPR153,G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ACOT7,11332,108,1,ACOT7,acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
HES2,54626,109,1,HES2,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ESPN,83715,110,1,ESPN,espin [Source:HGNC Symbol;Acc:HGNC:13281],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PLEKHG5,57449,111,1,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NOL9,79707,112,1,NOL9,nucleolar protein 9 [Source:HGNC Symbol;Acc:HGNC:26265],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TAS1R1,80835,113,1,TAS1R1,taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ZBTB48,3104,114,1,ZBTB48,zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KLHL21,9903,115,1,KLHL21,kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PHF13,148479,116,1,PHF13,PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
THAP3,90326,117,1,THAP3,THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DNAJC11,55735,118,1,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01672,None,119,1,None,None,,query_1
CAMTA1,23261,120,1,CAMTA1,calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC102725193,None,121,1,None,None,,query_1
VAMP3,9341,122,1,VAMP3,vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PER3,8863,123,1,PER3,period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
UTS2,10911,124,1,UTS2,urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TNFRSF9,3604,125,1,TNFRSF9,TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PARK7,11315,126,1,PARK7,Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ERRFI1,54206,127,1,ERRFI1,ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01714,None,128,1,None,None,,query_1
SLC45A1,50651,129,1,SLC45A1,solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RERE,473,130,1,RERE,arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC102724552,None,131,1,None,None,,query_1
ENO1,2023,132,1,ENO1,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
ENO1-AS1,None,133,1,None,None,,query_1
CA6,765,134,1,CA6,carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC2A7,155184,135,1,SLC2A7,solute carrier family 2 member 7 [Source:HGNC Symbol;Acc:HGNC:13445],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SLC2A5,6518,136,1,SLC2A5,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
GPR157,80045,137,1,GPR157,G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MIR34AHG,None,138,1,None,None,,query_1
LINC01759,None,139,1,None,None,,query_1
H6PD,9563,140,1,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SPSB1,80176,141,1,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC100506022,None,142,1,None,None,,query_1
SLC25A33,84275,143,1,SLC25A33,solute carrier family 25 member 33 [Source:HGNC Symbol;Acc:HGNC:29681],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TMEM201,199953,144,1,TMEM201,transmembrane protein 201 [Source:HGNC Symbol;Acc:HGNC:33719],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PIK3CD,5293,145,1,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PIK3CD-AS1,None,146,1,None,None,,query_1
PIK3CD-AS2,None,147,1,None,None,,query_1
CLSTN1,22883,148,1,CLSTN1,calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CTNNBIP1,56998,149,1,CTNNBIP1,catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LZIC,84328,150,1,LZIC,leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:HGNC:17497],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
NMNAT1,64802,151,1,NMNAT1,nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
RBP7,116362,152,1,RBP7,retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
UBE4B,10277,153,1,UBE4B,ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
KIF1B,23095,154,1,KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PGD,5226,155,1,PGD,phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CENPS-CORT,378708,156,1,CENPS,centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CENPS-CORT,100526739,156,2,CENPS-CORT,CENPS-CORT readthrough [Source:HGNC Symbol;Acc:HGNC:38843],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CENPS,378708,157,1,CENPS,centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DFFA,1676,158,1,DFFA,DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
PEX14,5195,159,1,PEX14,peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
CASZ1,54897,160,1,CASZ1,castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
C1orf127,148345,161,1,C1orf127,chromosome 1 open reading frame 127 [Source:HGNC Symbol;Acc:HGNC:26730],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
TARDBP,23435,162,1,TARDBP,TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MASP2,10747,163,1,MASP2,mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
SRM,6723,164,1,SRM,spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
EXOSC10,5394,165,1,EXOSC10,exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LOC105376736,None,166,1,None,None,,query_1
MTOR,2475,167,1,MTOR,mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MTOR-AS1,None,168,1,None,None,,query_1
UBIAD1,29914,169,1,UBIAD1,UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DISP3,57540,170,1,DISP3,dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
LINC01647,None,171,1,None,None,,query_1
FBXO2,26232,172,1,FBXO2,F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
FBXO44,93611,173,1,FBXO44,F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
MAD2L2,10459,174,1,MAD2L2,mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
DRAXIN,374946,175,1,DRAXIN,dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054],"ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE",query_1
